sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
427,213000,500,2461,2024,2299,1872,1.997000,1.650000
428,213500,500,2474,2028,2315,1875,2.006000,1.653000
429,214000,500,2461,2032,2298,1879,1.997000,1.656000
430,214500,500,2424,2028,2262,1877,1.964000,1.653000
431,215000,500,2368,2028,2206,1875,1.921000,1.653000
432,215500,500,2309,2040,2151,1889,1.874000,1.663000
433,216000,500,2245,2044,2089,1894,1.827000,1.669000
434,216500,500,2172,2028,2010,1875,1.761000,1.653000
435,217000,500,2088,2040,1931,1890,1.697000,1.664000
436,217500,500,2005,2036,1846,1886,1.627000,1.661000
437,218000,500,1924,2040,1766,1890,1.565000,1.663000
438,218500,500,1847,2028,1689,1874,1.504000,1.653000
439,219000,500,1775,2040,1621,1889,1.446000,1.664000
440,219500,500,1719,2028,1566,1875,1.404000,1.653000
441,220000,500,1676,2024,1520,1872,1.366000,1.651000
442,220500,500,1646,2028,1487,1874,1.341000,1.652000
443,221000,500,1617,2024,1458,1872,1.317000,1.650000
444,221500,500,1597,2036,1441,1884,1.302000,1.661000
445,222000,500,1599,2024,1441,1871,1.305000,1.650000
446,222500,500,1629,2020,1471,1871,1.328000,1.650000
447,223000,500,1678,2020,1519,1871,1.367000,1.649000
448,223500,500,1731,2028,1578,1875,1.414000,1.653000
449,224000,500,1785,2028,1630,1874,1.455000,1.651000
450,224500,500,1850,2020,1694,1868,1.507000,1.648000
451,225000,500,1954,2024,1795,1872,1.590000,1.650000
452,225500,500,2075,2024,1919,1872,1.686000,1.650000
453,226000,500,2160,2020,1998,1871,1.752000,1.649000
454,226500,500,2215,2024,2059,1873,1.801000,1.650000
455,227000,500,2262,2024,2102,1872,1.836000,1.650000
456,227500,500,2328,2024,2170,1872,1.890000,1.650000
457,228000,500,2409,2028,2250,1873,1.955000,1.653000
458,228500,500,2459,2024,2301,1872,1.993000,1.650000
459,229000,500,2477,2020,2317,1872,2.009000,1.649000
460,229500,500,2460,2024,2294,1872,1.995000,1.653000
461,230000,500,2458,2024,2298,1873,1.993000,1.650000
462,230500,500,2455,2024,2292,1872,1.989000,1.650000
463,231000,500,2434,2036,2271,1886,1.973000,1.658000
464,231500,500,2379,2032,2222,1879,1.932000,1.661000
465,232000,500,2284,2032,2122,1878,1.852000,1.655000
466,232500,500,2193,2040,2032,1890,1.779000,1.664000
467,233000,500,2114,2032,1956,1878,1.715000,1.657000
468,233500,500,2041,2028,1881,1879,1.658000,1.653000
469,234000,500,1963,2032,1805,1877,1.596000,1.655000
470,234500,500,1857,2032,1701,1879,1.511000,1.656000
471,235000,500,1753,2036,1600,1885,1.430000,1.661000
472,235500,500,1663,2032,1503,1878,1.354000,1.656000
473,236000,500,1612,2036,1456,1886,1.315000,1.661000
474,236500,500,1581,2036,1424,1886,1.289000,1.661000
475,237000,500,1546,2020,1391,1870,1.259000,1.648000
476,237500,500,1513,2032,1355,1879,1.234000,1.658000
477,238000,500,1488,2028,1329,1875,1.212000,1.653000
478,238500,500,1492,2024,1334,1872,1.214000,1.650000
479,239000,500,1538,2020,1382,1869,1.253000,1.649000
480,239500,500,1593,2016,1437,1865,1.298000,1.645000
481,240000,500,1661,2020,1503,1870,1.353000,1.648000
482,240500,500,1729,2032,1577,1872,1.411000,1.656000
