sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
1089,543999,500,543999,2199,1883,1.772088,1.517436,2364,2038
1090,544499,500,544499,2283,1887,1.839780,1.520659,2441,2042
1091,544999,500,544999,2336,1886,1.882491,1.519853,2504,2040
1092,545499,500,545499,2372,1886,1.911502,1.519853,2536,2040
1093,545999,500,545999,2385,1888,1.921978,1.521465,2552,2042
1094,546499,500,546499,2394,1886,1.929231,1.519853,2560,2040
1095,546999,500,546999,2387,1886,1.923590,1.519853,2555,2040
1096,547499,500,547499,2363,1890,1.904249,1.523077,2527,2044
1097,547999,500,547999,2308,1886,1.859927,1.519853,2474,2040
1098,548499,500,548499,2240,1885,1.805128,1.519048,2402,2040
1099,548999,500,548999,2162,1891,1.742271,1.523883,2322,2044
1100,549499,500,549499,2070,1886,1.668132,1.519853,2232,2040
1101,549999,500,549999,1970,1887,1.587546,1.520659,2135,2042
1102,550499,500,550499,1869,1888,1.506154,1.521465,2031,2042
1103,550999,500,550999,1767,1885,1.423956,1.519048,1927,2040
1104,551499,500,551499,1670,1889,1.345788,1.522271,1830,2044
1105,551999,500,551999,1575,1886,1.269231,1.519853,1733,2040
1106,552499,500,552499,1474,1889,1.187839,1.522271,1637,2044
1107,552999,500,552999,1397,1889,1.125788,1.522271,1557,2042
1108,553499,500,553499,1338,1886,1.078242,1.519853,1498,2040
1109,553999,500,553999,1299,1889,1.046813,1.522271,1467,2042
1110,554499,500,554499,1289,1892,1.038755,1.524689,1450,2044
1111,554999,500,554999,1281,1890,1.032308,1.523077,1444,2044
1112,555499,500,555499,1296,1881,1.044396,1.515824,1455,2036
1113,555999,500,555999,1331,1885,1.072601,1.519048,1493,2040
1114,556499,500,556499,1399,1890,1.127399,1.523077,1559,2044
1115,556999,500,556999,1480,1885,1.192674,1.519048,1639,2040
1116,557499,500,557499,1573,1888,1.267619,1.521465,1730,2042
1117,557999,500,557999,1673,1886,1.348205,1.519853,1831,2040
1118,558499,500,558499,1783,1888,1.436850,1.521465,1941,2042
1119,558999,500,558999,1894,1886,1.526300,1.519853,2057,2040
1120,559499,500,559499,2005,1893,1.615751,1.525494,2171,2046
1121,559999,500,559999,2117,1891,1.706007,1.523883,2280,2044
1122,560499,500,560499,2226,1888,1.793846,1.521465,2391,2042
1123,560999,500,560999,2329,1888,1.876850,1.521465,2494,2042
1124,561499,500,561499,2418,1885,1.948571,1.519048,2584,2040
1125,561999,500,561999,2480,1888,1.998535,1.521465,2645,2042
1126,562499,500,562499,2512,1885,2.024323,1.519048,2684,2040
1127,562999,500,562999,2539,1888,2.046081,1.521465,2707,2042
1128,563499,500,563499,2549,1885,2.054139,1.519048,2719,2038
1129,563999,500,563999,2541,1883,2.047692,1.517436,2706,2038
1130,564499,500,564499,2501,1887,2.015458,1.520659,2668,2040
1131,564999,500,564999,2432,1886,1.959854,1.519853,2598,2040
1132,565499,500,565499,2353,1890,1.896191,1.523077,2519,2044
1133,565999,500,565999,2262,1887,1.822857,1.520659,2426,2042
1134,566499,500,566499,2159,1886,1.739854,1.519853,2321,2040
1135,566999,500,566999,2043,1884,1.646374,1.518242,2205,2038
1136,567499,500,567499,1922,1883,1.548864,1.517436,2085,2038
1137,567999,500,567999,1807,1882,1.456190,1.516630,1966,2036
1138,568499,500,568499,1684,1887,1.357070,1.520659,1847,2040
1139,568999,500,568999,1571,1890,1.266007,1.523077,1727,2046
1140,569499,500,569499,1459,1881,1.175751,1.515824,1618,2036
1141,569999,500,569999,1364,1887,1.099194,1.520659,1523,2042
1142,570499,500,570499,1296,1883,1.044396,1.517436,1459,2040
1143,570999,500,570999,1251,1889,1.008132,1.522271,1411,2044
1144,571499,500,571499,1215,1891,0.979121,1.523883,1377,2044
1145,571999,500,571999,1200,1894,0.967033,1.526300,1357,2046
1146,572499,500,572499,1203,1891,0.969451,1.523883,1364,2042
1147,572999,500,572999,1238,1891,0.997656,1.523883,1400,2044
1148,573499,500,573499,1299,1893,1.046813,1.525494,1462,2046
1149,573999,500,573999,1379,1888,1.111282,1.521465,1536,2044
1150,574499,500,574499,1462,1887,1.178169,1.520659,1624,2042
1151,574999,500,574999,1568,1889,1.263590,1.522271,1725,2042
1152,575499,500,575499,1675,1886,1.349817,1.519853,1836,2042
1153,575999,500,575999,1793,1887,1.444908,1.520659,1954,2042
1154,576499,500,576499,1906,1887,1.535971,1.520659,2069,2042
1155,576999,500,576999,2027,1888,1.633480,1.521465,2188,2042
1156,577499,500,577499,2144,1889,1.727766,1.522271,2308,2040
1157,577999,500,577999,2253,1885,1.815604,1.519048,2417,2040
1158,578499,500,578499,2345,1886,1.889744,1.519853,2508,2042
1159,578999,500,578999,2411,1889,1.942930,1.522271,2575,2044
1160,579499,500,579499,2460,1888,1.982418,1.521465,2628,2042
1161,579999,500,579999,2499,1888,2.013846,1.521465,2669,2040
1162,580499,500,580499,2522,1885,2.032381,1.519048,2692,2040
1163,580999,500,580999,2521,1895,2.031575,1.527106,2690,2040
1164,581499,500,581499,2487,1884,2.004176,1.518242,2657,2038
1165,581999,500,581999,2444,1891,1.969524,1.523883,2609,2046
1166,582499,500,582499,2379,1888,1.917143,1.521465,2543,2044
1167,582999,500,582999,2299,1887,1.852674,1.520659,2465,2042
1168,583499,500,583499,2208,1889,1.779341,1.522271,2374,2044
1169,583999,500,583999,2109,1882,1.699561,1.516630,2271,2036
1170,584499,500,584499,2001,1886,1.612527,1.519853,2167,2042
1171,584999,500,584999,1900,1889,1.531136,1.522271,2060,2042
1172,585499,500,585499,1787,1887,1.440073,1.520659,1948,2042
1173,585999,500,585999,1680,1891,1.353846,1.523883,1839,2044
1174,586499,500,586499,1584,1889,1.276484,1.522271,1740,2044
1175,586999,500,586999,1498,1887,1.207180,1.520659,1660,2042
1176,587499,500,587499,1438,1887,1.158828,1.520659,1598,2042
1177,587999,500,587999,1392,1888,1.121758,1.521465,1550,2040
1178,588499,500,588499,1345,1890,1.083883,1.523077,1508,2044
1179,588999,500,588999,1328,1895,1.070183,1.527106,1490,2048
1180,589499,500,589499,1336,1890,1.076630,1.523077,1494,2044
1181,589999,500,589999,1361,1890,1.096777,1.523077,1526,2044
1182,590499,500,590499,1410,1887,1.136264,1.520659,1570,2040
