time_us,adc_raw
2843984,0
2844485,0
2844985,0
2845484,0
2845984,0
2846485,0
2846985,0
2847484,0
2847984,0
2848484,0
2848984,0
2849484,0
2849985,0
2850484,0
2850984,0
2851485,0
2851984,0
2852484,0
2852984,0
2853484,0
2853984,0
2854485,0
2854985,0
2855485,0
2855984,0
2856485,0
2856984,0
2857484,0
2857985,0
2858484,0
2858984,0
2859484,0
2859984,0
2860485,0
2860984,0
2861484,0
2861984,0
2862484,0
2862984,0
2863484,0
2863985,0
2864484,0
2864984,0
2865485,0
2865984,0
2866484,0
2866985,0
2867484,0
2867984,0
2868485,0
2868984,0
2869484,0
2869985,0
2870485,0
2870984,0
2871485,0
2871985,0
2872484,0
2872984,0
2873484,0
2873985,0
2874484,0
2874984,0
2875485,0
2875985,0
2876484,0
2876984,0
2877485,0
2877984,0
2878484,0
2878984,0
2879485,0
2879985,0
2880484,0
2880984,0
2881484,0
2881984,0
2882485,0
2882984,0
2883484,0
2883985,0
2884484,0
2884984,0
2885485,0
2885984,0
2886484,0
2886985,0
2887484,0
2887984,0
2888485,0
2888984,0
2889485,0
2889985,0
2890484,0
2890984,0
2891485,0
2891984,0
2892484,0
2892985,0
2893485,0
2893985,0
2894485,0
2894985,0
2895484,0
2895984,0
2896485,0
2896984,0
2897484,0
2897984,0
2898485,0
2898985,0
2899484,0
2899985,0
2900484,0
2900984,0
2901485,0
2901984,0
2902484,0
2902984,0
2903485,0
2903984,0
2904484,0
2904984,0
2905484,0
2905984,0
2906484,0
2906984,0
2907484,0
2907984,0
2908484,0
2908984,0
2909484,0
2909985,0
2910485,0
2910985,0
2911484,0
2911984,0
2912485,0
2912984,0
2913484,0
2913985,0
2914484,0
2914984,0
2915485,0
2915984,0
2916484,0
2916984,0
2917485,0
2917984,0
2918484,0
2918984,0
2919484,0
2919984,0
2920485,0
2920984,0
2921485,0
2921985,0
2922484,0
2922985,0
2923484,0
2923984,0
2924485,0
2924984,0
2925484,0
2925984,0
2926484,0
2926984,0
2927484,0
2927984,0
2928485,0
2928985,0
2929484,0
2929984,0
2930484,0
2930984,0
2931484,0
2931985,0
2932484,0
2932984,0
2933484,0
2933984,0
2934485,0
2934984,0
2935485,0
2935984,0
2936484,0
2936984,0
2937485,0
2937984,0
2938484,0
