sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
262,131000,500,1319,2475,1160,2323,1.078000,2.015000,0,0
263,131500,500,1451,2385,1291,2234,1.183000,1.943000,0,0
264,132000,500,1655,2233,1495,2086,1.346000,1.822000,0,0
265,132500,500,1822,2115,1667,1965,1.486000,1.725000,0,0
266,133000,500,1996,1994,1840,1843,1.624000,1.628000,0,0
267,133500,500,2177,1872,2017,1723,1.768000,1.530000,0,0
268,134000,500,2358,1760,2198,1613,1.913000,1.441000,0,0
269,134500,500,2525,1660,2363,1508,2.054000,1.358000,0,0
270,135000,500,2673,1579,2507,1425,2.165000,1.288000,0,0
271,135500,500,2796,1513,2638,1360,2.268000,1.238000,0,0
272,136000,500,2893,1456,2739,1301,2.345000,1.190000,0,0
273,136500,500,2961,1419,2801,1264,2.399000,1.160000,0,0
274,137000,500,3003,1411,2847,1263,2.436000,1.156000,0,0
275,137500,500,3007,1420,2851,1264,2.438000,1.161000,0,0
276,138000,500,2979,1465,2821,1311,2.416000,1.201000,0,0
277,138500,500,2913,1528,2754,1375,2.361000,1.250000,0,0
278,139000,500,2815,1595,2657,1441,2.283000,1.305000,0,0
279,139500,500,2690,1685,2527,1531,2.178000,1.377000,0,0
280,140000,500,2544,1781,2384,1632,2.063000,1.458000,0,0
281,140500,500,2385,1905,2222,1755,1.934000,1.557000,0,0
282,141000,500,2218,2026,2062,1873,1.803000,1.652000,0,0
283,141500,500,2039,2144,1879,1991,1.658000,1.749000,0,0
284,142000,500,1858,2266,1701,2115,1.512000,1.848000,0,0
285,142500,500,1679,2367,1521,2215,1.367000,1.926000,0,0
286,143000,500,1518,2466,1360,2317,1.238000,2.003000,0,0
287,143500,500,1377,2541,1216,2389,1.122000,2.067000,0,0
288,144000,500,1265,2603,1105,2453,1.031000,2.117000,0,0
289,144500,500,1176,2653,1011,2498,0.956000,2.158000,0,0
290,145000,500,1115,2685,951,2532,0.907000,2.181000,0,0
291,145500,500,1087,2684,925,2534,0.886000,2.183000,0,0
292,146000,500,1094,2662,931,2511,0.889000,2.165000,0,0
293,146500,500,1133,2605,963,2451,0.924000,2.117000,0,0
294,147000,500,1211,2548,1052,2398,0.990000,2.073000,0,0
295,147500,500,1319,2475,1165,2322,1.077000,2.013000,0,0
296,148000,500,1451,2385,1294,2236,1.185000,1.943000,0,0
297,148500,500,1655,2233,1498,2085,1.348000,1.823000,0,0
298,149000,500,1822,2115,1665,1966,1.487000,1.727000,0,0
299,149500,500,1996,1994,1842,1843,1.624000,1.624000,0,0
300,150000,500,2177,1872,2017,1725,1.767000,1.528000,0,0
301,150500,500,2358,1760,2197,1614,1.912000,1.444000,0,0
302,151000,500,2525,1660,2365,1506,2.049000,1.356000,0,0
303,151500,500,2673,1579,2510,1424,2.165000,1.291000,0,0
304,152000,500,2796,1513,2639,1360,2.268000,1.234000,0,0
305,152500,500,2893,1456,2737,1302,2.346000,1.190000,0,0
306,153000,500,2961,1419,2802,1264,2.399000,1.166000,0,0
307,153500,500,3003,1411,2847,1255,2.436000,1.159000,0,0
308,154000,500,3007,1420,2853,1264,2.440000,1.161000,0,0
309,154500,500,2979,1465,2827,1311,2.415000,1.199000,0,0
310,155000,500,2913,1528,2754,1376,2.361000,1.251000,0,0
311,155500,500,2815,1595,2657,1443,2.283000,1.305000,0,0
312,156000,500,2690,1685,2524,1533,2.178000,1.378000,0,0
313,156500,500,2544,1781,2384,1633,2.063000,1.458000,0,0
314,157000,500,2385,1905,2224,1754,1.935000,1.556000,0,0
